S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,                                        55,,GFCL,,,                                        445.00,,                                        5.00,,                                        1.14,,                                        435.20,,                                        455.00,,                                        435.20,,"                                        3,942.00",,                                        440.00,
,                                        56,,GHL,,,                                        182.00,,                                        1.00,,                                        0.55,,                                        183.00,,                                        185.80,,                                        180.10,,"                                        7,879.00",,                                        181.00,
,                                        57,,GIBF1,,,                                        8.39,,                                        -0.06,,                                        -0.71,,                                        8.32,,                                        8.61,,                                        8.32,,"                                        1,200.00",,                                        8.45,
,                                        58,,GILB,,,                                        915.00,,                                        3.00,,                                        0.33,,                                        930.20,,                                        930.20,,                                        860.00,,"                                        4,652.00",,                                        912.00,
,                                        59,,GLH,,,                                        229.50,,                                        4.30,,                                        1.91,,                                        228.00,,                                        229.50,,                                        224.10,,"                                        1,965.00",,                                        225.20,
,                                        60,,GMFBS,,,                                        710.50,,                                        27.50,,                                        4.03,,                                        683.00,,                                        710.50,,                                        683.00,,                                        812.00,,                                        683.00,
,                                        61,,GMFIL,,,                                        347.90,,                                        7.90,,                                        2.32,,                                        346.00,,                                        350.00,,                                        338.10,,"                                        19,611.00",,                                        340.00,
,                                        62,,GRDBL,,,                                        318.80,,                                        8.80,,                                        2.84,,                                        316.20,,                                        329.00,,                                        304.20,,"                                        10,721.00",,                                        310.00,
,                                        63,,GUFL,,,                                        545.00,,                                        5.00,,                                        0.93,,                                        530.10,,                                        547.00,,                                        530.00,,"                                        23,576.00",,                                        540.00,
,                                        64,,GVL,,,                                        359.00,,                                        6.90,,                                        1.96,,                                        350.00,,                                        378.00,,                                        350.00,,"                                        7,128.00",,                                        352.10,
,                                        65,,HBL,,,                                        208.00,,                                        -0.10,,                                        -0.05,,                                        210.00,,                                        211.00,,                                        207.00,,"                                        38,470.00",,                                        208.10,
,                                        66,,HDHPC,,,                                        136.60,,                                        -1.40,,                                        -1.01,,                                        138.00,,                                        139.60,,                                        136.50,,"                                        19,991.00",,                                        138.00,
,                                        67,,HDL,,,"                                        1,995.00",,                                        26.00,,                                        1.32,,"                                        2,000.00",,"                                        2,007.90",,"                                        1,980.00",,"                                        16,127.00",,"                                        1,969.00",
,                                        68,,HEI,,,                                        592.00,,                                        12.00,,                                        2.07,,                                        580.00,,                                        600.00,,                                        580.00,,"                                        30,028.00",,                                        580.00,
,                                        69,,HEIP,,,                                        393.40,,                                        -21.60,,                                        -5.20,,                                        406.70,,                                        419.90,,                                        393.40,,"                                        2,572.00",,                                        415.00,
,                                        70,,HHL,,,                                        199.50,,                                        -2.50,,                                        -1.24,,                                        198.10,,                                        204.50,,                                        198.00,,"                                        3,820.00",,                                        202.00,
,                                        71,,HIDCL,,,                                        171.50,,                                        1.30,,                                        0.76,,                                        173.60,,                                        173.90,,                                        170.50,,"                                        41,053.00",,                                        170.20,
,                                        72,,HIDCLP,,,                                        100.70,,                                        0.70,,                                        0.70,,                                        100.00,,                                        100.70,,                                        99.30,,"                                        30,532.00",,                                        100.00,
,                                        73,,HLBSL,,,                                        613.00,,                                        -2.00,,                                        -0.33,,                                        602.70,,                                        613.00,,                                        593.50,,                                        947.00,,                                        615.00,
,                                        74,,HLI,,,                                        445.00,,                                        2.80,,                                        0.63,,                                        442.00,,                                        450.20,,                                        442.00,,"                                        64,326.00",,                                        442.20,
,                                        75,,HPPL,,,                                        243.00,,                                        8.50,,                                        3.62,,                                        235.00,,                                        243.00,,                                        232.00,,"                                        11,426.00",,                                        234.50,
,                                        76,,HURJA,,,                                        230.10,,                                        -1.90,,                                        -0.82,,                                        232.00,,                                        235.00,,                                        229.00,,"                                        8,622.00",,                                        232.00,
